hemisphere,name,image,price,location,shadow,time,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
northern,bitterling,https://vignette.wikia.nocookie.net/animalcrossing/images/e/ea/NH-Icon-bitterling.png/revision/latest/scale-to-width-down/64?cb=20200401003128,900,river,1,all day,1,1,1,0,0,0,0,0,0,0,1,1
northern,pale chub,https://vignette.wikia.nocookie.net/animalcrossing/images/2/2c/NH-Icon-palechub.png/revision/latest/scale-to-width-down/64?cb=20200401003129,200,river,1,9 am - 4 pm,1,1,1,1,1,1,1,1,1,1,1,1
northern,crucian carp,https://vignette.wikia.nocookie.net/animalcrossing/images/0/03/NH-Icon-cruciancarp.png/revision/latest/scale-to-width-down/64?cb=20200401003129,160,river,2,all day,1,1,1,1,1,1,1,1,1,1,1,1
northern,dace,https://vignette.wikia.nocookie.net/animalcrossing/images/2/22/NH-Icon-dace.png/revision/latest/scale-to-width-down/64?cb=20200401003129,240,river,3,4 pm - 9 am,1,1,1,1,1,1,1,1,1,1,1,1
northern,carp,https://vignette.wikia.nocookie.net/animalcrossing/images/2/2c/NH-Icon-carp.png/revision/latest/scale-to-width-down/64?cb=20200401003129,300,pond,4,all day,1,1,1,1,1,1,1,1,1,1,1,1
northern,koi,https://vignette.wikia.nocookie.net/animalcrossing/images/7/74/NH-Icon-koi.png/revision/latest/scale-to-width-down/64?cb=20200401003129,4000,pond,4,4 pm - 9 am,1,1,1,1,1,1,1,1,1,1,1,1
northern,goldfish,https://vignette.wikia.nocookie.net/animalcrossing/images/e/ed/NH-Icon-goldfish.png/revision/latest/scale-to-width-down/64?cb=20200401003129,1300,pond,1,all day,1,1,1,1,1,1,1,1,1,1,1,1
northern,pop-eyed goldfish,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c9/NH-Icon-popeyedgoldfish.png/revision/latest/scale-to-width-down/64?cb=20200401003129,1300,pond,1,9 am - 4 pm,1,1,1,1,1,1,1,1,1,1,1,1
northern,ranchu goldfish,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f9/NH-Icon-ranchugoldfish.png/revision/latest/scale-to-width-down/64?cb=20200401003129,4500,pond,2,9 am - 4 pm,1,1,1,1,1,1,1,1,1,1,1,1
northern,killifish,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c3/NH-Icon-killifish.png/revision/latest/scale-to-width-down/64?cb=20200401003129,300,pond,1,all day,0,0,0,1,1,1,1,1,0,0,0,0
northern,crawfish,https://vignette.wikia.nocookie.net/animalcrossing/images/c/cd/NH-Icon-crawfish.png/revision/latest/scale-to-width-down/64?cb=20200401003129,200,pond,2,all day,0,0,0,1,1,1,1,1,1,0,0,0
northern,soft-shelled turtle,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c3/NH-Icon-softshelledturtle.png/revision/latest/scale-to-width-down/64?cb=20200401003129,3750,river,4,4 pm - 9 am,0,0,0,0,0,0,0,1,1,0,0,0
northern,snapping turtle,https://vignette.wikia.nocookie.net/animalcrossing/images/2/24/NH-Icon-snappingturtle.png/revision/latest/scale-to-width-down/64?cb=20200401003129,5000,river,5,9 pm - 4 am,0,0,0,1,1,1,1,1,1,1,0,0
